Event,Date/Time,Latitude,Longitude,Station,Depth water [m],Temp [Â°C],Sal,DO,[PO4]3-,[NO2]-,[NO3]-,Chl
Aegaeo_2013-10_AMT-2,2013-10-10,39.25,25.446,AMT-2,3,19.7,34.15,4.53,0.015,0.01,0.42,0.12
Aegaeo_2013-10_AMT-2,2013-10-10,39.25,25.446,AMT-2,10,19.75,34.36,4.86,0.03,0.01,0.18,0.13
Aegaeo_2013-10_AMT-2,2013-10-10,39.25,25.446,AMT-2,20,21.12,35.53,4.87,0.016,0.01,0.16,
Aegaeo_2013-10_AMT-2,2013-10-10,39.25,25.446,AMT-2,30,19.8,37.05,5.12,0.015,0.02,0.15,0.22
Aegaeo_2013-10_AMT-2,2013-10-10,39.25,25.446,AMT-2,50,17.54,38.76,5.46,,,,0.22
Aegaeo_2013-10_AMT-2,2013-10-10,39.25,25.446,AMT-2,75,16.84,39.07,5.23,0.027,0.15,0.26,0.14
Aegaeo_2013-10_AMT-3,2013-10-10,39.108,25.435,AMT-3,3,19.73,34.57,5.23,0.008,0.01,0.12,0.1
Aegaeo_2013-10_AMT-3,2013-10-10,39.108,25.435,AMT-3,10,20.05,35.42,5.24,0.013,0.01,0.1,0.11
Aegaeo_2013-10_AMT-3,2013-10-10,39.108,25.435,AMT-3,20,19.42,37.41,5.12,0.011,0.01,0.11,0.12
Aegaeo_2013-10_AMT-3,2013-10-10,39.108,25.435,AMT-3,30,20.0,38.48,5.44,0.021,0.01,0.24,0.2
Aegaeo_2013-10_AMT-3,2013-10-10,39.108,25.435,AMT-3,50,17.37,38.64,5.65,0.01,0.01,0.11,0.22
Aegaeo_2013-10_AMT-3,2013-10-10,39.108,25.435,AMT-3,75,17.01,39.06,5.23,0.039,0.1,0.23,0.18
Aegaeo_2013-10_AMT-6,2013-10-11,39.788,25.545,AMT-6,3,19.67,31.26,5.26,0.036,0.02,0.78,0.15
Aegaeo_2013-10_AMT-6,2013-10-11,39.788,25.545,AMT-6,10,20.0,32.54,5.27,0.035,0.01,0.87,0.15
Aegaeo_2013-10_AMT-6,2013-10-11,39.788,25.545,AMT-6,20,19.66,34.9,5.3,0.016,0.0,0.36,0.17
Aegaeo_2013-10_AMT-6,2013-10-11,39.788,25.545,AMT-6,30,20.07,38.82,5.24,0.016,0.01,0.2,0.23
Aegaeo_2013-10_AMT-6,2013-10-11,39.788,25.545,AMT-6,50,17.82,38.97,5.42,0.01,0.03,0.13,0.26
Aegaeo_2013-10_AMT-6,2013-10-11,39.788,25.545,AMT-6,75,17.18,39.09,5.16,0.06,0.15,0.25,0.22
Aegaeo_2013-10_AMT-7,2013-10-11,39.6458,25.592,AMT-7,3,19.88,36.49,5.13,0.014,0.01,0.17,0.09
Aegaeo_2013-10_AMT-7,2013-10-11,39.6458,25.592,AMT-7,10,20.28,38.23,5.09,0.02,0.01,0.18,0.08
Aegaeo_2013-10_AMT-7,2013-10-11,39.6458,25.592,AMT-7,20,20.17,38.44,5.07,0.016,0.0,0.12,0.1
Aegaeo_2013-10_AMT-7,2013-10-11,39.6458,25.592,AMT-7,30,20.34,38.59,5.07,0.022,0.0,0.21,
Aegaeo_2013-10_AMT-7,2013-10-11,39.6458,25.592,AMT-7,50,199.5,38.84,5.12,0.013,0.0,0.17,0.15
Aegaeo_2013-10_AMT-7,2013-10-11,39.6458,25.592,AMT-7,75,17.56,39.09,5.33,0.012,0.0,0.2,0.17
Aegaeo_2014-03_AMT-2,2014-03-22,39.25,25.445,AMT-2,3,13.1,33.71,6.1,0.081,0.01,0.04,0.41
Aegaeo_2014-03_AMT-2,2014-03-22,39.25,25.445,AMT-2,10,13.34,344.4,6.06,0.115,0.0,0.07,0.35
Aegaeo_2014-03_AMT-2,2014-03-22,39.25,25.445,AMT-2,20,12.56,36.43,5.92,0.074,0.0,0.0,0.22
Aegaeo_2014-03_AMT-2,2014-03-22,39.25,25.445,AMT-2,30,13.82,37.69,5.66,0.076,0.01,0.06,0.36
Aegaeo_2014-03_AMT-2,2014-03-22,39.25,25.445,AMT-2,50,14.45,384.0,5.53,0.13,0.08,0.14,0.48
Aegaeo_2014-03_AMT-2,2014-03-22,39.25,25.445,AMT-2,75,15.15,38.84,5.2,0.23,0.05,0.7,0.13
Aegaeo_2014-03_AMT-3,2014-03-22,39.091,25.427,AMT-3,3,14.23,36.52,5.92,0.03,0.01,0.0,0.21
Aegaeo_2014-03_AMT-3,2014-03-22,39.091,25.427,AMT-3,10,14.43,37.24,5.54,0.021,0.03,0.05,0.25
Aegaeo_2014-03_AMT-3,2014-03-22,39.091,25.427,AMT-3,20,15.19,38.72,5.31,0.033,0.06,0.31,0.48
Aegaeo_2014-03_AMT-3,2014-03-22,39.091,25.427,AMT-3,30,15.31,38.83,5.17,0.078,0.06,0.54,0.31
Aegaeo_2014-03_AMT-3,2014-03-22,39.091,25.427,AMT-3,50,15.06,38.83,5.24,0.131,0.03,1.33,0.14
Aegaeo_2014-03_AMT-3,2014-03-22,39.091,25.427,AMT-3,75,15.1,38.87,5.25,0.136,0.03,0.97,0.07
Aegaeo_2014-03_AMT-6,2014-03-23,39.788,25.545,AMT-6,3,15.14,38.95,5.59,0.031,0.02,0.26,0.28
Aegaeo_2014-03_AMT-6,2014-03-23,39.788,25.545,AMT-6,10,15.14,38.95,5.59,0.054,0.02,0.19,0.24
Aegaeo_2014-03_AMT-6,2014-03-23,39.788,25.545,AMT-6,20,15.12,38.95,5.63,0.053,0.01,0.2,0.28
Aegaeo_2014-03_AMT-6,2014-03-23,39.788,25.545,AMT-6,30,15.06,38.97,5.55,0.054,0.03,0.38,0.26
Aegaeo_2014-03_AMT-6,2014-03-23,39.788,25.545,AMT-6,50,14.97,38.99,5.55,0.065,0.07,0.16,0.34
Aegaeo_2014-03_AMT-6,2014-03-23,39.788,25.545,AMT-6,75,14.78,38.97,5.52,0.101,0.18,0.5,0.25
Aegaeo_2014-03_AMT-7,2014-03-24,39.643,25.585,AMT-7,3,,,5.58,0.032,0.04,0.51,0.23
Aegaeo_2014-03_AMT-7,2014-03-24,39.643,25.585,AMT-7,10,15.41,39.0,5.57,0.033,0.01,0.38,0.08
Aegaeo_2014-03_AMT-7,2014-03-24,39.643,25.585,AMT-7,20,15.39,39.0,5.56,0.046,0.03,0.45,0.26
Aegaeo_2014-03_AMT-7,2014-03-24,39.643,25.585,AMT-7,30,15.39,39.0,5.57,0.052,0.02,0.15,0.29
Aegaeo_2014-03_AMT-7,2014-03-24,39.643,25.585,AMT-7,50,15.35,39.0,5.52,0.072,0.04,0.36,0.25
Aegaeo_2014-03_AMT-7,2014-03-24,39.643,25.585,AMT-7,75,15.21,39.0,5.47,0.047,0.15,0.47,0.25
Aegaeo_2014-07_AMT-2,2014-07-17,39.253,25.445,AMT-2,3,24.09,33.18,4.91,0.026,0.02,0.02,0.09
Aegaeo_2014-07_AMT-2,2014-07-17,39.253,25.445,AMT-2,10,23.62,344.5,5.24,0.015,0.01,0.02,0.07
Aegaeo_2014-07_AMT-2,2014-07-17,39.253,25.445,AMT-2,20,22.59,38.03,5.42,0.015,0.0,0.04,0.08
Aegaeo_2014-07_AMT-2,2014-07-17,39.253,25.445,AMT-2,30,19.62,38.32,5.56,0.01,0.02,0.04,0.11
Aegaeo_2014-07_AMT-2,2014-07-17,39.253,25.445,AMT-2,50,17.22,38.87,5.59,0.012,0.0,0.02,0.09
Aegaeo_2014-07_AMT-2,2014-07-17,39.253,25.445,AMT-2,75,16.29,38.94,5.24,0.006,0.01,0.03,0.21
Aegaeo_2014-07_AMT-3,2014-07-17,39.105,25.437,AMT-3,3,24.55,32.73,5.14,0.025,0.01,0.05,0.12
Aegaeo_2014-07_AMT-3,2014-07-17,39.105,25.437,AMT-3,10,21.91,36.27,5.47,0.01,0.03,0.04,0.14
Aegaeo_2014-07_AMT-3,2014-07-17,39.105,25.437,AMT-3,20,212.7,38.11,5.49,0.011,0.0,0.05,0.15
Aegaeo_2014-07_AMT-3,2014-07-17,39.105,25.437,AMT-3,30,17.75,37.88,5.59,0.003,0.01,0.07,0.13
Aegaeo_2014-07_AMT-3,2014-07-17,39.105,25.437,AMT-3,50,17.64,38.93,5.66,0.007,0.0,0.06,0.15
Aegaeo_2014-07_AMT-3,2014-07-17,39.105,25.437,AMT-3,75,164.5,39.0,5.54,0.004,0.0,0.03,0.2
Aegaeo_2014-07_AMT-6,2014-07-16,39.789,25.545,AMT-6,3,23.84,33.01,5.11,0.061,0.02,0.02,0.07
Aegaeo_2014-07_AMT-6,2014-07-16,39.789,25.545,AMT-6,10,23.85,33.2,5.1,0.031,0.02,0.09,0.09
Aegaeo_2014-07_AMT-6,2014-07-16,39.789,25.545,AMT-6,20,23.06,37.27,5.11,0.02,0.0,0.14,0.06
Aegaeo_2014-07_AMT-6,2014-07-16,39.789,25.545,AMT-6,30,21.3,38.72,5.33,0.032,0.0,0.01,0.04
Aegaeo_2014-07_AMT-6,2014-07-16,39.789,25.545,AMT-6,50,17.04,38.99,5.56,0.024,0.0,0.12,0.06
Aegaeo_2014-07_AMT-6,2014-07-16,39.789,25.545,AMT-6,75,16.25,39.03,5.39,0.037,0.02,0.06,0.09
Aegaeo_2014-07_AMT-7,2014-07-16,39.647,25.471,AMT-7,3,23.85,33.95,5.18,0.04,0.01,0.09,0.07
Aegaeo_2014-07_AMT-7,2014-07-16,39.647,25.471,AMT-7,10,23.75,34.08,5.22,0.046,0.0,0.06,0.06
Aegaeo_2014-07_AMT-7,2014-07-16,39.647,25.471,AMT-7,20,21.24,38.86,5.28,0.01,0.02,0.02,0.05
Aegaeo_2014-07_AMT-7,2014-07-16,39.647,25.471,AMT-7,30,19.65,38.97,5.51,0.021,0.01,0.01,0.06
Aegaeo_2014-07_AMT-7,2014-07-16,39.647,25.471,AMT-7,50,17.35,39.07,5.57,0.008,0.02,0.06,0.09
Aegaeo_2014-07_AMT-7,2014-07-16,39.647,25.471,AMT-7,75,16.44,39.03,5.45,0.011,0.0,0.04,0.1
Aegaeo_2013-10_AMT-2,2013-10-10,39.25,25.446,AMT-2,50,17.54,38.76,5.46,,,,0.22
Aegaeo_2014-07_AMT-6,2014-07-16,39.789,25.545,AMT-6,20,23.06,37.27,5.11,0.02,0.0,0.14,0.06
Aegaeo_2013-10_AMT-7,2013-10-11,39.6458,25.592,AMT-7,3,19.88,36.49,5.13,0.014,0.01,0.17,0.09
Aegaeo_2013-10_AMT-2,2013-10-10,39.25,25.446,AMT-2,3,19.7,34.15,4.53,0.015,0.01,0.42,0.12
Aegaeo_2014-03_AMT-2,2014-03-22,39.25,25.445,AMT-2,50,14.45,384.0,5.53,0.13,0.08,0.14,0.48
Aegaeo_2014-07_AMT-2,2014-07-17,39.253,25.445,AMT-2,20,22.59,38.03,5.42,0.015,0.0,0.04,0.08
Aegaeo_2013-10_AMT-3,2013-10-10,39.108,25.435,AMT-3,50,17.37,38.64,5.65,0.01,0.01,0.11,0.22
